date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:56	1485/1485	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Nov%202023%2002:50:54%20GMT	https://astronfy.com/robots.txt		(from )
23:50:56	406696/406696	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202023%2002:50:55%20GMT	https://astronfy.com/	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/astronfy.com/index.html	(from )
23:50:56	3694/3694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Nov%202023%2002:50:55%20GMT	https://astronfy.com/e.src	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/astronfy.com/e.src	(from https://astronfy.com/)
23:50:56	46376/46376	---MCZ	200	added ('OK')	text/css	etag:W/%2279bf6e636ff0238f3db8626ea4e7a758%22	https://astronfy.com/astronfy.css	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/astronfy.com/astronfy.css	(from https://astronfy.com/)
23:50:56	139922/139922	---M--	200	added ('OK')	image/png	etag:%222de792bf887163cd5b1d9409a88e8192%22	https://astronfy.com/imagem/23595868_transparent.png	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/astronfy.com/imagem/23595868_transparent.png	(from https://astronfy.com/)
23:50:56	3694/3694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Nov%202023%2002:50:56%20GMT	https://astronfy.com/Firefox/	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/astronfy.com/Firefox/index.html	(from https://astronfy.com/)
23:50:57	206749/206749	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2022%20Nov%202023%2002:50:56%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/connect.facebook.net/en_US/fbevents.js	(from https://astronfy.com/)
23:50:57	14709/14709	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2015:52:20%20GMT	https://rampylab.com/wp-content/cache/min/1/wp-content/plugins/wp-custom-cursors/public/css/wp_custom_cursors_main_style.css?ver=1678655067	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/rampylab.com/wp-content/cache/min/1/wp-content/plugins/wp-custom-cursors/public/css/wp_custom_cursors_main_stylef006.css	(from https://astronfy.com/)
23:50:57	5756/5756	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2022:06:04%20GMT	https://rampylab.com/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/rampylab.com/wp-content/themes/hello-elementor/style.minc141.css	(from https://astronfy.com/)
23:50:57	12439/12439	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2022:06:04%20GMT	https://rampylab.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/Users/duard/Downloads/LADINGPAGE%20ZAP%20CONTI/ZAP%20CONTIGENCIA%2001/rampylab.com/wp-content/themes/hello-elementor/theme.minc141.css	(from https://astronfy.com/)
